lin_x,lin_y,lin_z,ang_x,ang_y,ang_z
0.0,0.0,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.15000000000000002
0.0,0.0,0.0,0.0,0.0,0.2
0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.0,0.0,0.0,0.0,0.35
0.0,0.0,0.0,0.0,0.0,0.39999999999999997
0.0,0.0,0.0,0.0,0.0,0.44999999999999996
0.0,0.0,0.0,0.0,0.0,0.49999999999999994
0.0,0.0,0.0,0.0,0.0,0.5499999999999999
0.0,0.0,0.0,0.0,0.0,0.6
0.0,0.0,0.0,0.0,0.0,0.65
0.0,0.0,0.0,0.0,0.0,0.7
0.0,0.0,0.0,0.0,0.0,0.75
0.0,0.0,0.0,0.0,0.0,0.7999999999999999
0.0,0.0,0.0,0.0,0.0,0.7999999999999999
0.0,0.0,0.0,0.0,0.0,0.7999999999999999
0.0,0.0,0.0,0.0,0.0,0.85
0.0,0.0,0.0,0.0,0.0,0.8999999999999999
0.0,0.0,0.0,0.0,0.0,0.8999999999999999
0.0,0.0,0.0,0.0,0.0,0.8999999999999999
0.0,0.0,0.0,0.0,0.0,0.8999999999999999
0.0,0.0,0.0,0.0,0.0,0.8999999999999999
0.0,0.0,0.0,0.0,0.0,0.95
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.05
0.0,0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,0.0,1.1500000000000001
0.0,0.0,0.0,0.0,0.0,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,1.2500000000000002
0.0,0.0,0.0,0.0,0.0,1.3000000000000003
0.0,0.0,0.0,0.0,0.0,1.3500000000000003
0.0,0.0,0.0,0.0,0.0,1.4000000000000004
0.0,0.0,0.0,0.0,0.0,1.4500000000000004
0.0,0.0,0.0,0.0,0.0,1.5000000000000004
0.0,0.0,0.0,0.0,0.0,1.5500000000000005
0.0,0.0,0.0,0.0,0.0,1.6000000000000005
0.0,0.0,0.0,0.0,0.0,1.6500000000000006
0.0,0.0,0.0,0.0,0.0,1.7000000000000006
0.0,0.0,0.0,0.0,0.0,1.7500000000000007
0.0,0.0,0.0,0.0,0.0,1.8000000000000007
0.0,0.0,0.0,0.0,0.0,1.82
0.0,0.0,0.0,0.0,0.0,1.82
0.0,0.0,0.0,0.0,0.0,1.82
0.0,0.0,0.0,0.0,0.0,1.82
0.0,0.0,0.0,0.0,0.0,1.82
0.0,0.0,0.0,0.0,0.0,1.82
